date,pct_chg
2022-02-04,2.89
2022-02-07,-1.0
2022-02-08,1.22
2022-02-09,6.11
2022-02-10,4.33
2022-02-11,2.44
2022-02-14,3.33
2022-02-15,5.06
2022-02-16,6.67
2022-02-17,5.56
2022-02-18,13.0
2022-02-22,11.67
2022-02-23,8.22
2022-02-24,12.44
2022-02-25,12.56
2022-02-28,10.67
2022-03-01,1.89
2022-03-02,2.78
2022-03-03,2.44
2022-03-04,6.0
2022-03-07,4.11
2022-03-08,4.56
2022-03-09,3.89
2022-03-10,3.67
2022-03-11,3.67
2022-03-14,3.33
2022-03-15,1.44
2022-03-16,2.78
2022-03-17,4.44
2022-03-18,4.56
2022-03-21,6.0
2022-03-22,8.22
2022-03-23,6.11
2022-03-24,7.11
2022-03-25,2.11
2022-03-28,-3.0
2022-03-29,-2.78
2022-03-30,-3.33
2022-03-31,-3.56
2022-04-01,-2.33
2022-04-04,-1.67
2022-04-05,-2.78
2022-04-06,-2.33
2022-04-07,-0.67
2022-04-08,-4.33
2022-04-11,-8.22
2022-04-12,-9.89
2022-04-13,-6.0
2022-04-14,-3.89
2022-04-18,-2.22
2022-04-19,1.33
2022-04-20,4.22
2022-04-21,3.44
2022-04-22,3.11
2022-04-25,-1.67
2022-04-26,-6.33
2022-04-27,-8.11
2022-04-28,-6.89
2022-04-29,-3.33
2022-05-02,-8.89
2022-05-03,-8.56
2022-05-04,-4.11
2022-05-05,-8.0
2022-05-06,-8.67
2022-05-09,-10.33
2022-05-10,-12.56
2022-05-11,-16.0
2022-05-12,-17.33
2022-05-13,-16.78
2022-05-16,-18.11
2022-05-17,-15.22
2022-05-18,-14.67
2022-05-19,-6.89
2022-05-20,-10.11
2022-05-23,-11.78
2022-05-24,-13.0
2022-05-25,-8.89
2022-05-26,-12.0
2022-05-27,-10.67
2022-05-31,-9.56
2022-06-01,-8.89
2022-06-02,-8.89
2022-06-03,-11.22
2022-06-06,-10.33
2022-06-07,-12.33
2022-06-08,-13.11
2022-06-09,-13.78
2022-06-10,-13.78
2022-06-13,-17.22
2022-06-14,-20.89
2022-06-15,-20.22
2022-06-16,-20.44
2022-06-17,-22.22
2022-06-21,-22.0
2022-06-22,-18.67
2022-06-23,-21.67
2022-06-24,-20.33
2022-06-27,-20.56
2022-06-28,-20.11
2022-06-29,-18.67
2022-06-30,-17.78
2022-07-01,-20.0
2022-07-05,-21.33
2022-07-06,-21.22
2022-07-07,-18.44
2022-07-08,-20.11
2022-07-11,-21.44
2022-07-12,-22.0
2022-07-13,-17.78
2022-07-14,-18.67
2022-07-15,-19.44
2022-07-18,-19.44
2022-07-19,-16.33
2022-07-20,-17.44
2022-07-21,-14.44
2022-07-22,-17.56
2022-07-25,-17.22
2022-07-26,-15.56
2022-07-27,-8.11
2022-07-28,-5.89
2022-07-29,-5.56
2022-08-01,-6.33
2022-08-02,-9.44
2022-08-03,-6.78
2022-08-04,-4.44
2022-08-05,-5.67
2022-08-08,-3.89
2022-08-09,-6.67
2022-08-10,-4.89
2022-08-11,-6.67
2022-08-12,-5.56
2022-08-15,-3.89
2022-08-16,-2.33
2022-08-17,-4.89
2022-08-18,-3.33
2022-08-19,-4.56
2022-08-22,-5.0
2022-08-23,-5.56
2022-08-24,-5.56
2022-08-25,-4.22
2022-08-26,-7.0
2022-08-29,-3.89
2022-08-30,-8.44
2022-08-31,-11.22
2022-09-01,-14.11
2022-09-02,-12.67
2022-09-06,-12.78
2022-09-07,-14.33
2022-09-08,-13.67
2022-09-09,-13.56
2022-09-12,-11.33
2022-09-13,-10.56
2022-09-14,-12.22
2022-09-15,-13.44
2022-09-16,-20.44
2022-09-19,-16.67
2022-09-20,-17.78
2022-09-21,-18.67
2022-09-22,-18.22
2022-09-23,-22.0
2022-09-26,-22.22
2022-09-27,-23.78
2022-09-28,-22.22
2022-09-29,-20.89
2022-09-30,-20.89
2022-10-03,-19.89
2022-10-04,-18.67
2022-10-05,-20.22
2022-10-06,-19.22
2022-10-07,-21.67
2022-10-10,-21.89
2022-10-11,-21.67
2022-10-12,-23.33
2022-10-13,-19.56
2022-10-14,-18.78
2022-10-17,-21.67
2022-10-18,-19.44
2022-10-19,-20.56
2022-10-20,-23.67
2022-10-21,-24.67
2022-10-24,-25.0
2022-10-25,-26.67
2022-10-26,-24.89
2022-10-27,-23.0
2022-10-28,-17.78
2022-10-31,-18.33
2022-11-01,-18.67
2022-11-02,-21.56
2022-11-03,-21.33
2022-11-04,-19.44
2022-11-07,-16.0
2022-11-08,-15.44
2022-11-09,-15.67
2022-11-10,-12.34
2022-11-11,-13.89
2022-11-14,-13.89
2022-11-15,-14.0
2022-11-16,-13.33
2022-11-17,-15.56
2022-11-18,-15.56
2022-11-21,-16.67
2022-11-22,-15.61
2022-11-23,-16.11
2022-11-25,-16.67
2022-11-28,-18.11
2022-11-29,-18.67
2022-11-30,-20.22
2022-12-01,-19.89
2022-12-02,-19.06
2022-12-05,-20.0
2022-12-06,-21.0
2022-12-07,-20.56
2022-12-08,-20.89
2022-12-09,-20.56
2022-12-12,-20.67
2022-12-13,-21.33
2022-12-14,-21.56
2022-12-15,-22.89
2022-12-16,-23.33
2022-12-19,-23.33
2022-12-20,-23.78
2022-12-21,-24.22
2022-12-22,-23.67
2022-12-23,-23.56
2022-12-27,-21.98
2022-12-28,-22.22
2022-12-29,-20.44
2022-12-30,-20.33
2023-01-03,-19.0
2023-01-04,-18.44
2023-01-05,-18.67
2023-01-06,-17.44
2023-01-09,-15.0
2023-01-10,-11.78
2023-01-11,-12.0
2023-01-12,-11.78
2023-01-13,-9.22
2023-01-17,-11.11
2023-01-18,-10.56
2023-01-19,-17.22
2023-01-20,-10.78
2023-01-23,-14.56
2023-01-24,-16.11
2023-01-25,-13.89
2023-01-26,-12.22
2023-01-27,-8.56
2023-01-30,-10.33
2023-01-31,-10.11
2023-02-01,-10.89
2023-02-02,-8.11
2023-02-03,-9.11
