date,pct_chg
2022-02-04,-0.55
2022-02-07,-0.04
2022-02-08,-0.59
2022-02-09,-0.39
2022-02-10,-0.59
2022-02-11,-3.57
2022-02-14,-5.11
2022-02-15,-4.28
2022-02-16,-2.63
2022-02-17,-2.75
2022-02-18,-1.81
2022-02-22,-2.99
2022-02-23,-2.99
2022-02-24,-2.48
2022-02-25,-2.44
2022-02-28,-3.42
2022-03-01,-2.99
2022-03-02,-2.72
2022-03-03,-2.62
2022-03-04,-3.34
2022-03-07,-4.32
2022-03-08,-4.24
2022-03-09,-3.93
2022-03-10,-4.2
2022-03-11,-3.93
2022-03-14,-5.74
2022-03-15,-5.07
2022-03-16,-4.05
2022-03-17,-2.36
2022-03-18,-1.34
2022-03-21,-1.77
2022-03-22,-2.51
2022-03-23,-2.12
2022-03-24,-1.69
2022-03-25,-2.91
2022-03-28,-1.81
2022-03-29,-0.43
2022-03-30,-0.55
2022-03-31,-1.69
2022-04-01,-2.0
2022-04-04,-2.36
2022-04-05,-5.15
2022-04-06,-6.29
2022-04-07,-5.89
2022-04-08,-6.56
2022-04-11,-8.45
2022-04-12,-9.31
2022-04-13,-10.41
2022-04-14,-9.43
2022-04-18,-9.63
2022-04-19,-9.43
2022-04-20,-9.23
2022-04-21,-10.86
2022-04-22,-11.39
2022-04-25,-11.07
2022-04-26,-14.11
2022-04-27,-15.6
2022-04-28,-15.17
2022-04-29,-14.85
2022-05-02,-17.41
2022-05-03,-17.29
2022-05-04,-15.09
2022-05-05,-16.19
2022-05-06,-15.72
2022-05-09,-15.72
2022-05-10,-15.28
2022-05-11,-14.58
2022-05-12,-13.05
2022-05-13,-12.22
2022-05-16,-12.97
2022-05-17,-14.85
2022-05-18,-15.44
2022-05-19,-14.03
2022-05-20,-13.26
2022-05-23,-12.81
2022-05-24,-11.0
2022-05-25,-9.74
2022-05-26,-8.25
2022-05-27,-8.76
2022-05-31,-10.61
2022-06-01,-11.08
2022-06-02,-11.28
2022-06-03,-13.12
2022-06-06,-13.56
2022-06-07,-11.98
2022-06-08,-11.87
2022-06-09,-12.77
2022-06-10,-18.15
2022-06-13,-21.77
2022-06-14,-21.61
2022-06-15,-19.84
2022-06-16,-22.87
2022-06-17,-22.12
2022-06-21,-22.04
2022-06-22,-20.28
2022-06-23,-20.12
2022-06-24,-20.16
2022-06-27,-20.24
2022-06-28,-19.88
2022-06-29,-19.76
2022-06-30,-19.45
2022-07-01,-18.31
2022-07-05,-18.43
2022-07-06,-18.66
2022-07-07,-18.27
2022-07-08,-16.97
2022-07-11,-16.9
2022-07-12,-16.94
2022-07-13,-17.01
2022-07-14,-16.97
2022-07-15,-16.27
2022-07-18,-16.74
2022-07-19,-15.95
2022-07-20,-15.52
2022-07-21,-15.05
2022-07-22,-14.5
2022-07-25,-13.87
2022-07-26,-13.16
2022-07-27,-12.34
2022-07-28,-11.36
2022-07-29,-8.57
2022-08-01,-7.27
2022-08-02,-6.05
2022-08-03,-5.03
2022-08-04,-5.07
2022-08-05,-6.52
2022-08-08,-6.92
2022-08-09,-8.61
2022-08-10,-8.61
2022-08-11,-9.08
2022-08-12,-8.84
2022-08-15,-8.8
2022-08-16,-8.87
2022-08-17,-11.08
2022-08-18,-10.41
2022-08-19,-11.16
2022-08-22,-12.69
2022-08-23,-13.79
2022-08-24,-13.83
2022-08-25,-12.57
2022-08-26,-13.48
2022-08-29,-13.16
2022-08-30,-14.34
2022-08-31,-14.93
2022-09-01,-14.99
2022-09-02,-14.42
2022-09-06,-15.01
2022-09-07,-15.01
2022-09-08,-15.83
2022-09-09,-15.25
2022-09-12,-14.03
2022-09-13,-14.73
2022-09-14,-14.93
2022-09-15,-16.07
2022-09-16,-16.9
2022-09-19,-17.52
2022-09-20,-18.19
2022-09-21,-18.62
2022-09-22,-21.26
2022-09-23,-20.98
2022-09-26,-22.04
2022-09-27,-19.02
2022-09-28,-18.19
2022-09-29,-20.98
2022-09-30,-18.51
2022-10-03,-18.86
2022-10-04,-19.41
2022-10-05,-19.53
2022-10-06,-19.8
2022-10-07,-21.02
2022-10-10,-22.08
2022-10-11,-23.14
2022-10-12,-24.72
2022-10-13,-25.11
2022-10-14,-25.82
2022-10-17,-25.34
2022-10-18,-24.64
2022-10-19,-24.87
2022-10-20,-25.82
2022-10-21,-25.93
2022-10-24,-25.62
2022-10-25,-25.03
2022-10-26,-23.5
2022-10-27,-23.54
2022-10-28,-23.16
2022-10-31,-23.54
2022-11-01,-24.28
2022-11-02,-25.46
2022-11-03,-25.03
2022-11-04,-27.23
2022-11-07,-27.62
2022-11-08,-26.99
2022-11-09,-27.58
2022-11-10,-22.99
2022-11-11,-22.15
2022-11-14,-23.26
2022-11-15,-23.42
2022-11-16,-24.2
2022-11-17,-24.95
2022-11-18,-25.74
2022-11-21,-26.21
2022-11-22,-27.31
2022-11-23,-26.68
2022-11-25,-26.51
2022-11-28,-28.29
2022-11-29,-29.78
2022-11-30,-28.53
2022-12-01,-27.15
2022-12-02,-27.47
2022-12-05,-29.74
2022-12-06,-30.61
2022-12-07,-30.84
2022-12-08,-32.89
2022-12-09,-34.66
2022-12-12,-35.91
2022-12-13,-34.18
2022-12-14,-33.48
2022-12-15,-34.46
2022-12-16,-33.36
2022-12-19,-35.68
2022-12-20,-36.9
2022-12-21,-36.74
2022-12-22,-38.15
2022-12-23,-37.76
2022-12-27,-37.13
2022-12-28,-38.51
2022-12-29,-37.72
2022-12-30,-37.25
2023-01-03,-34.22
2023-01-04,-32.26
2023-01-05,-31.28
2023-01-06,-27.82
2023-01-09,-25.78
2023-01-10,-24.86
2023-01-11,-26.99
2023-01-12,-28.17
2023-01-13,-27.54
2023-01-17,-24.95
2023-01-18,-22.63
2023-01-19,-23.14
2023-01-20,-26.21
2023-01-23,-26.72
2023-01-24,-27.19
2023-01-25,-27.62
2023-01-26,-27.74
2023-01-27,-28.21
2023-01-30,-25.7
2023-01-31,-22.28
2023-02-01,-22.36
2023-02-02,-21.06
2023-02-03,-22.99
