date,pct_chg
2022-02-04,2.54
2022-02-07,4.41
2022-02-08,4.32
2022-02-09,10.37
2022-02-10,7.17
2022-02-11,6.62
2022-02-14,7.59
2022-02-15,12.25
2022-02-16,12.1
2022-02-17,6.38
2022-02-18,5.53
2022-02-22,0.64
2022-02-23,-2.69
2022-02-24,17.57
2022-02-25,18.6
2022-02-28,24.61
2022-03-01,22.95
2022-03-02,30.9
2022-03-03,23.34
2022-03-04,19.26
2022-03-07,13.94
2022-03-08,10.58
2022-03-09,14.3
2022-03-10,10.04
2022-03-11,2.78
2022-03-14,-1.45
2022-03-15,2.0
2022-03-16,4.6
2022-03-17,4.38
2022-03-18,4.72
2022-03-21,-0.18
2022-03-22,3.05
2022-03-23,5.38
2022-03-24,9.19
2022-03-25,8.19
2022-03-28,12.79
2022-03-29,19.69
2022-03-30,18.6
2022-03-31,15.57
2022-04-01,19.29
2022-04-04,18.69
2022-04-05,17.18
2022-04-06,16.51
2022-04-07,13.64
2022-04-08,11.4
2022-04-11,9.86
2022-04-12,9.31
2022-04-13,14.85
2022-04-14,11.16
2022-04-18,6.32
2022-04-19,12.94
2022-04-20,17.81
2022-04-21,12.0
2022-04-22,7.05
2022-04-25,3.87
2022-04-26,-1.36
2022-04-27,-3.27
2022-04-28,-5.02
2022-04-29,-13.82
2022-05-02,-9.4
2022-05-03,-5.17
2022-05-04,-6.11
2022-05-05,-13.76
2022-05-06,-18.66
2022-05-09,-23.1
2022-05-10,-19.9
2022-05-11,-22.68
2022-05-12,-17.27
2022-05-13,-14.42
2022-05-16,-16.48
2022-05-17,-13.15
2022-05-18,-18.72
2022-05-19,-15.97
2022-05-20,-17.18
2022-05-23,-17.72
2022-05-24,-19.2
2022-05-25,-18.57
2022-05-26,-19.14
2022-05-27,-15.12
2022-05-31,-17.9
2022-06-01,-20.41
2022-06-02,-16.75
2022-06-03,-17.63
2022-06-06,-20.02
2022-06-07,-18.29
2022-06-08,-18.51
2022-06-09,-22.44
2022-06-10,-25.16
2022-06-13,-28.49
2022-06-14,-30.06
2022-06-15,-28.94
2022-06-16,-30.81
2022-06-17,-29.69
2022-06-21,-29.09
2022-06-22,-25.88
2022-06-23,-22.29
2022-06-24,-22.29
2022-06-27,-22.47
2022-06-28,-26.34
2022-06-29,-23.44
2022-06-30,-23.86
2022-07-01,-21.92
2022-07-05,-16.06
2022-07-06,-16.39
2022-07-07,-16.27
2022-07-08,-15.75
2022-07-11,-18.93
2022-07-12,-17.57
2022-07-13,-15.78
2022-07-14,-18.36
2022-07-15,-16.72
2022-07-18,-17.63
2022-07-19,-14.58
2022-07-20,-14.88
2022-07-21,-13.37
2022-07-22,-14.67
2022-07-25,-14.12
2022-07-26,-13.67
2022-07-27,-8.19
2022-07-28,-4.45
2022-07-29,-1.6
2022-08-01,-4.9
2022-08-02,-3.81
2022-08-03,-4.05
2022-08-04,-7.98
2022-08-05,-6.95
2022-08-08,-9.77
2022-08-09,-17.05
2022-08-10,-17.9
2022-08-11,-18.11
2022-08-12,-14.94
2022-08-15,-7.68
2022-08-16,-8.86
2022-08-17,-9.77
2022-08-18,-6.5
2022-08-19,-8.22
2022-08-22,-15.97
2022-08-23,-17.45
2022-08-24,-14.48
2022-08-25,-11.82
2022-08-26,-18.14
2022-08-29,-20.35
2022-08-30,-21.8
2022-08-31,-24.55
2022-09-01,-25.73
2022-09-02,-31.39
2022-09-06,-31.6
2022-09-07,-25.85
2022-09-08,-23.65
2022-09-09,-21.32
2022-09-12,-22.32
2022-09-13,-24.28
2022-09-14,-22.1
2022-09-15,-20.93
2022-09-16,-21.26
2022-09-19,-21.62
2022-09-20,-22.77
2022-09-21,-25.28
2022-09-22,-28.18
2022-09-23,-27.55
2022-09-26,-30.69
2022-09-27,-28.52
2022-09-28,-24.71
2022-09-29,-28.18
2022-09-30,-29.85
2022-10-03,-30.96
2022-10-04,-28.24
2022-10-05,-27.4
2022-10-06,-26.61
2022-10-07,-28.97
2022-10-10,-28.27
2022-10-11,-26.49
2022-10-12,-26.76
2022-10-13,-24.86
2022-10-14,-26.67
2022-10-17,-24.86
2022-10-18,-24.71
2022-10-19,-26.55
2022-10-20,-26.4
2022-10-21,-24.89
2022-10-24,-26.04
2022-10-25,-23.59
2022-10-26,-20.41
2022-10-27,-21.95
2022-10-28,-20.32
2022-10-31,-18.72
2022-11-01,-17.24
2022-11-02,-19.59
2022-11-03,-19.81
2022-11-04,-24.52
2022-11-07,-27.25
2022-11-08,-30.3
2022-11-09,-46.63
2022-11-10,-32.23
2022-11-11,-28.03
2022-11-14,-30.18
2022-11-15,-29.6
2022-11-16,-32.2
2022-11-17,-36.29
2022-11-18,-35.62
2022-11-21,-35.59
2022-11-22,-34.8
2022-11-23,-35.17
2022-11-25,-35.08
2022-11-28,-36.23
2022-11-29,-35.86
2022-11-30,-30.96
2022-12-01,-30.3
2022-12-02,-27.88
2022-12-05,-31.36
2022-12-06,-31.51
2022-12-07,-30.36
2022-12-08,-29.09
2022-12-09,-30.54
2022-12-12,-28.67
2022-12-13,-25.67
2022-12-14,-22.07
2022-12-15,-27.34
2022-12-16,-25.73
2022-12-19,-30.93
2022-12-20,-27.85
2022-12-21,-25.34
2022-12-22,-26.16
2022-12-23,-27.94
2022-12-27,-28.82
2022-12-28,-26.7
2022-12-29,-23.01
2022-12-30,-20.35
2023-01-03,-24.01
2023-01-04,-22.86
2023-01-05,-26.01
2023-01-06,-27.79
2023-01-09,-27.88
2023-01-10,-16.15
2023-01-11,-16.48
2023-01-12,-10.67
2023-01-13,-14.7
2023-01-17,-11.52
2023-01-18,-12.28
2023-01-19,-14.09
2023-01-20,-12.37
2023-01-23,-12.28
2023-01-24,-13.37
2023-01-25,-15.6
2023-01-26,-15.78
2023-01-27,-13.73
2023-01-30,-18.26
2023-01-31,-16.93
2023-02-01,-14.21
2023-02-02,-5.23
2023-02-03,-6.08
