date,pct_chg
2022-02-04,2.68
2022-02-07,0.19
2022-02-08,-4.67
2022-02-09,-0.0
2022-02-10,0.87
2022-02-11,9.21
2022-02-14,6.22
2022-02-15,8.34
2022-02-16,8.9
2022-02-17,8.96
2022-02-18,5.85
2022-02-22,4.48
2022-02-23,7.78
2022-02-24,10.39
2022-02-25,12.69
2022-02-28,16.49
2022-03-01,20.04
2022-03-02,20.22
2022-03-03,18.36
2022-03-04,22.59
2022-03-07,37.4
2022-03-08,46.36
2022-03-09,34.85
2022-03-10,41.88
2022-03-11,39.7
2022-03-14,25.7
2022-03-15,24.64
2022-03-16,23.09
2022-03-17,28.13
2022-03-18,24.02
2022-03-21,33.23
2022-03-22,32.48
2022-03-23,36.28
2022-03-24,37.34
2022-03-25,45.86
2022-03-28,35.22
2022-03-29,32.23
2022-03-30,32.48
2022-03-31,30.8
2022-04-01,34.41
2022-04-04,38.52
2022-04-05,34.35
2022-04-06,26.14
2022-04-07,29.87
2022-04-08,33.42
2022-04-11,29.06
2022-04-12,30.06
2022-04-13,35.1
2022-04-14,35.59
2022-04-18,43.87
2022-04-19,39.2
2022-04-20,41.88
2022-04-21,31.49
2022-04-22,24.95
2022-04-25,19.73
2022-04-26,22.03
2022-04-27,23.34
2022-04-28,26.2
2022-04-29,21.22
2022-05-02,20.66
2022-05-03,29.5
2022-05-04,35.66
2022-05-05,30.8
2022-05-06,32.55
2022-05-09,13.57
2022-05-10,15.06
2022-05-11,15.18
2022-05-12,11.45
2022-05-13,18.98
2022-05-16,26.2
2022-05-17,28.25
2022-05-18,21.16
2022-05-19,21.22
2022-05-20,20.22
2022-05-23,26.7
2022-05-24,23.9
2022-05-25,34.91
2022-05-26,35.35
2022-05-27,36.53
2022-05-31,34.66
2022-06-01,41.13
2022-06-02,42.0
2022-06-03,41.26
2022-06-06,45.49
2022-06-07,54.32
2022-06-08,55.69
2022-06-09,50.4
2022-06-10,44.62
2022-06-13,35.03
2022-06-14,34.47
2022-06-15,37.27
2022-06-16,28.25
2022-06-17,16.61
2022-06-21,26.94
2022-06-22,15.56
2022-06-23,5.85
2022-06-24,11.14
2022-06-27,24.39
2022-06-28,30.74
2022-06-29,24.02
2022-06-30,18.61
2022-07-01,20.85
2022-07-05,17.17
2022-07-06,11.76
2022-07-07,26.51
2022-07-08,25.02
2022-07-11,23.34
2022-07-12,17.98
2022-07-13,20.78
2022-07-14,18.17
2022-07-15,25.14
2022-07-18,33.98
2022-07-19,41.07
2022-07-20,44.68
2022-07-21,40.82
2022-07-22,36.15
2022-07-25,45.86
2022-07-26,45.61
2022-07-27,50.72
2022-07-28,55.38
2022-07-29,60.92
2022-08-01,55.63
2022-08-02,55.2
2022-08-03,45.86
2022-08-04,37.21
2022-08-05,42.87
2022-08-08,43.68
2022-08-09,48.23
2022-08-10,55.69
2022-08-11,63.1
2022-08-12,58.43
2022-08-15,52.83
2022-08-16,49.66
2022-08-17,53.14
2022-08-18,57.62
2022-08-19,58.74
2022-08-22,66.02
2022-08-23,72.12
2022-08-24,78.34
2022-08-25,81.64
2022-08-26,81.64
2022-08-29,82.7
2022-08-30,68.45
2022-08-31,66.21
2022-09-01,59.55
2022-09-02,65.28
2022-09-06,56.69
2022-09-07,44.74
2022-09-08,48.85
2022-09-09,53.45
2022-09-12,56.75
2022-09-13,53.2
2022-09-14,58.18
2022-09-15,54.82
2022-09-16,43.93
2022-09-19,42.38
2022-09-20,40.45
2022-09-21,37.03
2022-09-22,34.16
2022-09-23,22.15
2022-09-26,14.56
2022-09-27,26.45
2022-09-28,34.23
2022-09-29,31.8
2022-09-30,33.29
2022-10-03,41.88
2022-10-04,48.29
2022-10-05,42.56
2022-10-06,44.68
2022-10-07,39.58
2022-10-10,32.11
2022-10-11,29.81
2022-10-12,28.75
2022-10-13,35.16
2022-10-14,28.25
2022-10-17,31.99
2022-10-18,29.0
2022-10-19,36.96
2022-10-20,37.21
2022-10-21,40.2
2022-10-24,36.96
2022-10-25,39.45
2022-10-26,41.63
2022-10-27,41.75
2022-10-28,40.07
2022-10-31,45.05
2022-11-01,48.29
2022-11-02,45.49
2022-11-03,47.17
2022-11-04,50.72
2022-11-07,53.27
2022-11-08,53.02
2022-11-09,36.65
2022-11-10,27.26
2022-11-11,32.61
2022-11-14,24.83
2022-11-15,29.25
2022-11-16,21.1
2022-11-17,20.1
2022-11-18,21.47
2022-11-21,18.86
2022-11-22,21.66
2022-11-23,19.54
2022-11-25,20.47
2022-11-28,17.24
2022-11-29,19.35
2022-11-30,23.09
2022-12-01,19.6
2022-12-02,19.91
2022-12-05,14.31
2022-12-06,11.26
2022-12-07,8.4
2022-12-08,7.72
2022-12-09,6.16
2022-12-12,7.9
2022-12-13,10.08
2022-12-14,12.57
2022-12-15,10.52
2022-12-16,7.59
2022-12-19,5.6
2022-12-20,7.65
2022-12-21,11.01
2022-12-22,7.34
2022-12-23,11.82
2022-12-27,13.69
2022-12-28,7.41
2022-12-29,10.45
2022-12-30,10.14
2023-01-03,-4.67
2023-01-04,-6.04
2023-01-05,-6.91
2023-01-06,-6.22
2023-01-09,-5.91
2023-01-10,-8.09
2023-01-11,-5.04
2023-01-12,-3.3
2023-01-13,-3.3
2023-01-17,-3.48
2023-01-18,-6.47
2023-01-19,-3.42
2023-01-20,-2.18
2023-01-23,-0.19
2023-01-24,-4.11
2023-01-25,-5.48
2023-01-26,-2.68
2023-01-27,-3.67
2023-01-30,-6.47
2023-01-31,-4.54
2023-02-01,-7.41
2023-02-02,-10.52
2023-02-03,-11.26
