date,pct_chg
2022-02-04,-0.85
2022-02-07,-1.34
2022-02-08,-1.05
2022-02-09,1.12
2022-02-10,-1.7
2022-02-11,-4.59
2022-02-14,-5.92
2022-02-15,-3.28
2022-02-16,-4.26
2022-02-17,-7.08
2022-02-18,-7.05
2022-02-22,-8.64
2022-02-23,-10.27
2022-02-24,-9.46
2022-02-25,-7.89
2022-02-28,-8.86
2022-03-01,-12.8
2022-03-02,-10.18
2022-03-03,-11.73
2022-03-04,-13.71
2022-03-07,-18.66
2022-03-08,-18.39
2022-03-09,-15.98
2022-03-10,-16.09
2022-03-11,-15.96
2022-03-14,-15.32
2022-03-15,-13.56
2022-03-16,-11.01
2022-03-17,-10.1
2022-03-18,-9.69
2022-03-21,-11.31
2022-03-22,-10.92
2022-03-23,-12.6
2022-03-24,-11.66
2022-03-25,-9.88
2022-03-28,-9.77
2022-03-29,-6.35
2022-03-30,-8.25
2022-03-31,-10.68
2022-04-01,-11.18
2022-04-04,-10.57
2022-04-05,-12.44
2022-04-06,-12.43
2022-04-07,-11.86
2022-04-08,-11.04
2022-04-11,-13.13
2022-04-12,-12.96
2022-04-13,-12.13
2022-04-14,-11.72
2022-04-18,-12.5
2022-04-19,-9.88
2022-04-20,-9.39
2022-04-21,-11.26
2022-04-22,-14.26
2022-04-25,-14.69
2022-04-26,-17.66
2022-04-27,-17.56
2022-04-28,-16.38
2022-04-29,-18.32
2022-05-02,-18.02
2022-05-03,-18.39
2022-05-04,-18.24
2022-05-05,-22.89
2022-05-06,-25.21
2022-05-09,-25.37
2022-05-10,-27.03
2022-05-11,-28.72
2022-05-12,-25.78
2022-05-13,-25.24
2022-05-16,-26.22
2022-05-17,-24.24
2022-05-18,-27.79
2022-05-19,-29.92
2022-05-20,-25.67
2022-05-23,-27.0
2022-05-24,-28.54
2022-05-25,-25.98
2022-05-26,-23.23
2022-05-27,-21.17
2022-05-31,-20.74
2022-06-01,-21.72
2022-06-02,-19.35
2022-06-03,-21.33
2022-06-06,-21.5
2022-06-07,-21.47
2022-06-08,-21.76
2022-06-09,-23.92
2022-06-10,-25.7
2022-06-13,-28.09
2022-06-14,-28.65
2022-06-15,-26.64
2022-06-16,-30.1
2022-06-17,-28.21
2022-06-21,-27.14
2022-06-22,-28.15
2022-06-23,-26.58
2022-06-24,-24.58
2022-06-27,-25.34
2022-06-28,-27.65
2022-06-29,-29.09
2022-06-30,-30.62
2022-07-01,-30.68
2022-07-05,-29.64
2022-07-06,-29.78
2022-07-07,-28.01
2022-07-08,-28.01
2022-07-11,-29.75
2022-07-12,-28.93
2022-07-13,-28.53
2022-07-14,-29.44
2022-07-15,-28.61
2022-07-18,-28.43
2022-07-19,-24.96
2022-07-20,-24.65
2022-07-21,-25.7
2022-07-22,-25.45
2022-07-25,-25.42
2022-07-26,-28.81
2022-07-27,-26.39
2022-07-28,-23.7
2022-07-29,-29.81
2022-08-01,-28.53
2022-08-02,-30.36
2022-08-03,-29.66
2022-08-04,-29.08
2022-08-05,-28.26
2022-08-08,-28.4
2022-08-09,-28.79
2022-08-10,-27.51
2022-08-11,-25.9
2022-08-12,-25.98
2022-08-15,-26.28
2022-08-16,-24.73
2022-08-17,-25.97
2022-08-18,-26.75
2022-08-19,-28.45
2022-08-22,-32.23
2022-08-23,-31.81
2022-08-24,-31.79
2022-08-25,-30.8
2022-08-26,-35.34
2022-08-29,-34.92
2022-08-30,-34.15
2022-08-31,-34.89
2022-09-01,-34.95
2022-09-02,-35.99
2022-09-06,-36.77
2022-09-07,-33.43
2022-09-08,-32.86
2022-09-09,-31.89
2022-09-12,-30.8
2022-09-13,-34.39
2022-09-14,-35.45
2022-09-15,-36.26
2022-09-16,-37.48
2022-09-19,-36.37
2022-09-20,-39.7
2022-09-21,-41.63
2022-09-22,-42.77
2022-09-23,-43.8
2022-09-26,-44.99
2022-09-27,-44.91
2022-09-28,-48.7
2022-09-29,-52.56
2022-09-30,-53.02
2022-10-03,-50.86
2022-10-04,-50.11
2022-10-05,-49.89
2022-10-06,-52.4
2022-10-07,-54.65
2022-10-10,-55.48
2022-10-11,-54.51
2022-10-12,-54.37
2022-10-13,-54.18
2022-10-14,-54.52
2022-10-17,-53.58
2022-10-18,-53.41
2022-10-19,-55.31
2022-10-20,-56.68
2022-10-21,-56.5
2022-10-24,-56.24
2022-10-25,-55.03
2022-10-26,-55.69
2022-10-27,-56.93
2022-10-28,-55.59
2022-10-31,-55.62
2022-11-01,-55.03
2022-11-02,-56.8
2022-11-03,-57.4
2022-11-04,-55.62
2022-11-07,-55.69
2022-11-08,-55.15
2022-11-09,-57.74
2022-11-10,-52.98
2022-11-11,-47.63
2022-11-14,-47.99
2022-11-15,-47.46
2022-11-16,-49.47
2022-11-17,-48.79
2022-11-18,-48.04
2022-11-21,-49.18
2022-11-22,-47.11
2022-11-23,-46.97
2022-11-25,-46.06
2022-11-28,-49.09
2022-11-29,-49.01
2022-11-30,-48.44
2022-12-01,-47.41
2022-12-02,-47.82
2022-12-05,-53.64
2022-12-06,-53.83
2022-12-07,-54.49
2022-12-08,-54.96
2022-12-09,-55.7
2022-12-12,-55.78
2022-12-13,-55.36
2022-12-14,-55.95
2022-12-15,-56.75
2022-12-16,-58.58
2022-12-19,-59.08
2022-12-20,-60.46
2022-12-21,-60.01
2022-12-22,-58.83
2022-12-23,-59.05
2022-12-27,-57.34
2022-12-28,-59.38
2022-12-29,-56.9
2022-12-30,-56.63
2023-01-03,-56.42
2023-01-04,-53.63
2023-01-05,-53.74
2023-01-06,-53.6
2023-01-09,-53.55
2023-01-10,-52.92
2023-01-11,-52.59
2023-01-12,-51.7
2023-01-13,-51.1
2023-01-17,-51.92
2023-01-18,-52.78
2023-01-19,-55.36
2023-01-20,-53.91
2023-01-23,-52.1
2023-01-24,-52.47
2023-01-25,-53.05
2023-01-26,-53.03
2023-01-27,-52.17
2023-01-30,-52.69
2023-01-31,-51.4
2023-02-01,-50.3
2023-02-02,-51.08
2023-02-03,-51.9
