date,pct_chg
2021-09-17,20.0
2021-09-20,15.0
2021-09-21,10.0
2021-09-22,10.0
2021-09-23,20.0
2021-09-24,15.0
2021-09-27,14.95
2021-09-28,25.0
2021-09-29,15.0
2021-09-30,20.0
2021-10-01,5.0
2021-10-04,17.4
2021-10-05,10.0
2021-10-06,0.0
2021-10-07,7.2
2021-10-08,14.0
2021-10-11,9.95
2021-10-12,9.0
2021-10-13,10.0
2021-10-14,20.0
2021-10-15,26.2
2021-10-18,20.1
2021-10-19,25.0
2021-10-20,30.0
2021-10-21,30.0
2021-10-22,30.0
2021-10-25,34.95
2021-10-26,39.8
2021-10-27,40.0
2021-10-28,42.5
2021-10-29,40.0
2021-11-01,40.0
2021-11-02,30.0
2021-11-03,38.9
2021-11-04,58.0
2021-11-05,45.05
2021-11-08,122.6
2021-11-09,140.0
2021-11-10,145.0
2021-11-11,150.0
2021-11-12,147.5
2021-11-15,150.0
2021-11-16,150.0
2021-11-17,159.0
2021-11-18,177.5
2021-11-19,175.0
2021-11-22,167.5
2021-11-23,159.35
2021-11-24,150.55
2021-11-26,165.0
2021-11-29,145.0
2021-11-30,148.95
2021-12-01,162.5
2021-12-02,140.05
2021-12-03,115.3
2021-12-06,135.0
2021-12-07,160.0
2021-12-08,145.0
2021-12-09,145.0
2021-12-10,145.0
2021-12-13,125.0
2021-12-14,130.0
2021-12-15,130.0
2021-12-16,115.0
2021-12-17,124.95
2021-12-20,128.75
2021-12-21,150.0
2021-12-22,153.0
2021-12-23,142.5
2021-12-27,155.0
2021-12-28,145.0
2021-12-29,140.0
2021-12-30,130.0
2021-12-31,135.55
2022-01-03,140.05
2022-01-04,129.5
2022-01-05,120.0
2022-01-06,113.25
2022-01-07,110.15
2022-01-10,93.1
2022-01-11,111.5
2022-01-12,72.95
2022-01-13,104.95
2022-01-14,68.25
2022-01-18,69.45
2022-01-19,125.0
2022-01-20,124.75
2022-01-21,125.0
2022-01-24,107.25
2022-01-25,105.0
2022-01-26,115.0
2022-01-27,85.05
2022-01-28,75.0
2022-01-31,74.95
2022-02-01,75.0
2022-02-02,100.0
2022-02-03,64.95
2022-02-04,65.0
2022-02-07,39.0
2022-02-08,33.05
2022-02-09,50.0
2022-02-10,50.0
2022-02-11,94.0
2022-02-14,99.95
2022-02-15,95.0
