date,pct_chg
2022-02-04,0.97
2022-02-07,2.11
2022-02-08,4.47
2022-02-09,3.88
2022-02-10,2.61
2022-02-11,4.13
2022-02-14,3.46
2022-02-15,3.46
2022-02-16,4.39
2022-02-17,1.77
2022-02-18,2.83
2022-02-22,2.57
2022-02-23,2.49
2022-02-24,4.51
2022-02-25,5.44
2022-02-28,4.81
2022-03-01,0.97
2022-03-02,1.22
2022-03-03,1.18
2022-03-04,1.01
2022-03-07,-0.21
2022-03-08,-4.89
2022-03-09,0.72
2022-03-10,1.14
2022-03-11,0.76
2022-03-14,-0.38
2022-03-15,0.25
2022-03-16,0.84
2022-03-17,1.1
2022-03-18,1.01
2022-03-21,0.8
2022-03-22,0.93
2022-03-23,0.17
2022-03-24,1.14
2022-03-25,1.05
2022-03-28,1.01
2022-03-29,0.84
2022-03-30,2.87
2022-03-31,4.26
2022-04-01,4.68
2022-04-04,4.26
2022-04-05,4.85
2022-04-06,8.98
2022-04-07,9.57
2022-04-08,13.37
2022-04-11,14.51
2022-04-12,19.7
2022-04-13,21.26
2022-04-14,18.3
2022-04-18,12.82
2022-04-19,10.08
2022-04-20,14.89
2022-04-21,10.29
2022-04-22,7.89
2022-04-25,4.6
2022-04-26,4.26
2022-04-27,3.84
2022-04-28,5.23
2022-04-29,3.8
2022-05-02,0.46
2022-05-03,-0.42
2022-05-04,0.8
2022-05-05,-0.17
2022-05-06,7.13
2022-05-09,15.48
2022-05-10,17.67
2022-05-11,16.79
2022-05-12,14.51
2022-05-13,16.2
2022-05-16,16.91
2022-05-17,18.26
2022-05-18,14.3
2022-05-19,10.04
2022-05-20,10.88
2022-05-23,8.27
2022-05-24,9.83
2022-05-25,9.11
2022-05-26,14.3
2022-05-27,15.73
2022-05-31,18.09
2022-06-01,18.09
2022-06-02,17.33
2022-06-03,18.39
2022-06-06,22.31
2022-06-07,24.88
2022-06-08,25.14
2022-06-09,23.58
2022-06-10,26.99
2022-06-13,23.07
2022-06-14,24.55
2022-06-15,24.04
2022-06-16,22.56
2022-06-17,27.54
2022-06-21,27.63
2022-06-22,27.79
2022-06-23,34.04
2022-06-24,20.62
2022-06-27,9.66
2022-06-28,6.37
2022-06-29,2.74
2022-06-30,3.12
2022-07-01,4.85
2022-07-05,9.95
2022-07-06,10.5
2022-07-07,9.91
2022-07-08,10.8
2022-07-11,8.73
2022-07-12,8.18
2022-07-13,7.8
2022-07-14,3.54
2022-07-15,5.36
2022-07-18,4.85
2022-07-19,8.6
2022-07-20,8.27
2022-07-21,8.9
2022-07-22,8.86
2022-07-25,9.87
2022-07-26,9.66
2022-07-27,9.07
2022-07-28,9.57
2022-07-29,11.09
2022-08-01,17.88
2022-08-02,13.07
2022-08-03,12.91
2022-08-04,10.88
2022-08-05,11.3
2022-08-08,15.69
2022-08-09,14.47
2022-08-10,15.69
2022-08-11,15.9
2022-08-12,19.65
2022-08-15,19.61
2022-08-16,20.58
2022-08-17,20.75
2022-08-18,24.67
2022-08-19,24.0
2022-08-22,20.2
2022-08-23,19.91
2022-08-24,21.59
2022-08-25,21.64
2022-08-26,18.56
2022-08-29,15.86
2022-08-30,9.03
2022-08-31,7.97
2022-09-01,6.12
2022-09-02,3.54
2022-09-06,1.9
2022-09-07,3.96
2022-09-08,2.11
2022-09-09,1.86
2022-09-12,3.33
2022-09-13,0.55
2022-09-14,-0.84
2022-09-15,-2.11
2022-09-16,-3.29
2022-09-19,-4.09
2022-09-20,-5.61
2022-09-21,-4.72
2022-09-22,-6.37
2022-09-23,-11.64
2022-09-26,-10.75
2022-09-27,-13.03
2022-09-28,-12.65
2022-09-29,-13.42
2022-09-30,-14.21
2022-10-03,-13.88
2022-10-04,-11.47
2022-10-05,-9.41
2022-10-06,-11.81
2022-10-07,-13.54
2022-10-10,-11.51
2022-10-11,-11.85
2022-10-12,-12.36
2022-10-13,-7.42
2022-10-14,-8.81
2022-10-17,-6.45
2022-10-18,-7.0
2022-10-19,-7.42
2022-10-20,-10.97
2022-10-21,-5.53
2022-10-24,-2.24
2022-10-25,4.51
2022-10-26,6.33
2022-10-27,8.31
2022-10-28,8.81
2022-10-31,8.94
2022-11-01,6.28
2022-11-02,3.71
2022-11-03,3.37
2022-11-04,3.5
2022-11-07,4.98
2022-11-08,2.28
2022-11-09,1.6
2022-11-10,4.34
2022-11-11,1.81
2022-11-14,4.39
2022-11-15,1.69
2022-11-16,1.73
2022-11-17,0.21
2022-11-18,-0.42
2022-11-21,3.84
2022-11-22,7.97
2022-11-23,9.03
2022-11-25,6.79
2022-11-28,7.97
2022-11-29,6.96
2022-11-30,7.97
2022-12-01,10.63
2022-12-02,10.92
2022-12-05,9.7
2022-12-06,12.61
2022-12-07,13.33
2022-12-08,12.99
2022-12-09,8.01
2022-12-12,7.34
2022-12-13,9.57
2022-12-14,4.39
2022-12-15,4.13
2022-12-16,3.58
2022-12-19,2.4
2022-12-20,0.38
2022-12-21,3.04
2022-12-22,3.12
2022-12-23,2.7
2022-12-27,3.54
2022-12-28,-2.49
2022-12-29,-7.13
2022-12-30,-10.75
2023-01-03,-8.44
2023-01-04,-7.25
2023-01-05,-6.03
2023-01-06,-2.15
2023-01-09,-1.77
2023-01-10,3.08
2023-01-11,8.27
2023-01-12,7.76
2023-01-13,9.91
2023-01-17,12.02
2023-01-18,9.66
2023-01-19,9.24
2023-01-20,12.36
2023-01-23,12.15
2023-01-24,12.32
2023-01-25,14.51
2023-01-26,15.23
2023-01-27,12.36
2023-01-30,11.81
2023-01-31,14.8
2023-02-01,11.77
2023-02-02,14.21
2023-02-03,13.75
