date,pct_chg
2022-02-04,-0.7
2022-02-07,-1.9
2022-02-08,0.18
2022-02-09,1.99
2022-02-10,-0.12
2022-02-11,-1.08
2022-02-14,0.02
2022-02-15,1.9
2022-02-16,1.68
2022-02-17,-1.31
2022-02-18,-1.68
2022-02-22,-0.84
2022-02-23,-2.44
2022-02-24,-3.03
2022-02-25,-0.41
2022-02-28,-1.6
2022-03-01,-3.5
2022-03-02,-1.31
2022-03-03,-1.15
2022-03-04,-2.68
2022-03-07,-3.05
2022-03-08,-3.7
2022-03-09,-2.56
2022-03-10,-1.72
2022-03-11,0.47
2022-03-14,1.98
2022-03-15,2.29
2022-03-16,4.42
2022-03-17,5.67
2022-03-18,8.04
2022-03-21,7.37
2022-03-22,6.81
2022-03-23,3.6
2022-03-24,4.83
2022-03-25,6.63
2022-03-28,5.69
2022-03-29,6.59
2022-03-30,3.76
2022-03-31,3.72
2022-04-01,7.33
2022-04-04,2.25
2022-04-05,2.01
2022-04-06,1.45
2022-04-07,1.41
2022-04-08,2.6
2022-04-11,3.09
2022-04-12,4.15
2022-04-13,5.52
2022-04-14,4.87
2022-04-18,4.64
2022-04-19,6.71
2022-04-20,7.39
2022-04-21,6.47
2022-04-22,2.44
2022-04-25,0.96
2022-04-26,-1.43
2022-04-27,-1.37
2022-04-28,0.86
2022-04-29,-0.47
2022-05-02,-1.92
2022-05-03,-2.52
2022-05-04,0.12
2022-05-05,-1.31
2022-05-06,-2.62
2022-05-09,-2.05
2022-05-10,-1.76
2022-05-11,-1.96
2022-05-12,-1.62
2022-05-13,-0.59
2022-05-16,-0.94
2022-05-17,1.08
2022-05-18,-0.51
2022-05-19,-0.9
2022-05-20,-0.65
2022-05-23,0.2
2022-05-24,-0.29
2022-05-25,0.72
2022-05-26,2.44
2022-05-27,5.34
2022-05-31,3.58
2022-06-01,3.95
2022-06-02,6.36
2022-06-03,5.26
2022-06-06,4.65
2022-06-07,5.18
2022-06-08,2.86
2022-06-09,2.93
2022-06-10,0.68
2022-06-13,-3.44
2022-06-14,-5.91
2022-06-15,-2.88
2022-06-16,-9.74
2022-06-17,-8.57
2022-06-21,-9.52
2022-06-22,-10.05
2022-06-23,-9.47
2022-06-24,-6.86
2022-06-27,-4.81
2022-06-28,-5.93
2022-06-29,-5.89
2022-06-30,-6.59
2022-07-01,-5.98
2022-07-05,-9.31
2022-07-06,-9.64
2022-07-07,-8.63
2022-07-08,-8.02
2022-07-11,-8.82
2022-07-12,-9.76
2022-07-13,-9.74
2022-07-14,-10.74
2022-07-15,-10.09
2022-07-18,-9.97
2022-07-19,-7.59
2022-07-20,-6.98
2022-07-21,-6.26
2022-07-22,-5.87
2022-07-25,-4.91
2022-07-26,-2.62
2022-07-27,0.51
2022-07-28,2.07
2022-07-29,2.13
2022-08-01,4.75
2022-08-02,0.66
2022-08-03,2.33
2022-08-04,1.99
2022-08-05,1.41
