date,pct_chg
2022-02-04,1.52
2022-02-07,-6.5
2022-02-08,-2.14
2022-02-09,-0.4
2022-02-10,-1.68
2022-02-11,-3.25
2022-02-14,-4.24
2022-02-15,1.1
2022-02-16,1.33
2022-02-17,-0.98
2022-02-18,-2.83
2022-02-22,-6.99
2022-02-23,-10.41
2022-02-24,-8.43
2022-02-25,-2.96
2022-02-28,-2.7
2022-03-01,-0.96
2022-03-02,4.97
2022-03-03,2.97
2022-03-04,1.07
2022-03-07,-7.5
2022-03-08,-8.84
2022-03-09,-4.78
2022-03-10,-6.2
2022-03-11,-3.68
2022-03-14,-4.02
2022-03-15,-2.2
2022-03-16,-0.15
2022-03-17,0.96
2022-03-18,2.15
2022-03-21,3.62
2022-03-22,3.88
2022-03-23,2.32
2022-03-24,1.47
2022-03-25,0.53
2022-03-28,0.44
2022-03-29,5.83
2022-03-30,3.47
2022-03-31,-0.96
2022-04-01,0.09
2022-04-04,1.88
2022-04-05,-4.03
2022-04-06,-7.64
2022-04-07,-7.96
2022-04-08,-9.77
2022-04-11,-8.79
2022-04-12,-9.03
2022-04-13,-7.54
2022-04-14,-9.9
2022-04-18,-10.56
2022-04-19,-7.1
2022-04-20,-6.1
2022-04-21,-9.23
2022-04-22,-11.72
2022-04-25,-9.16
2022-04-26,-13.43
2022-04-27,-15.11
2022-04-28,-12.21
2022-04-29,-14.59
2022-05-02,-14.14
2022-05-03,-11.69
2022-05-04,-10.4
2022-05-05,-15.21
2022-05-06,-17.19
2022-05-09,-21.13
2022-05-10,-20.39
2022-05-11,-22.02
2022-05-12,-19.32
2022-05-13,-15.61
2022-05-16,-16.0
2022-05-17,-12.89
2022-05-18,-17.23
2022-05-19,-13.4
2022-05-20,-12.55
2022-05-23,-9.54
2022-05-24,-10.96
2022-05-25,-10.16
2022-05-26,-9.67
2022-05-27,-7.74
2022-05-31,-8.71
2022-06-01,-7.66
2022-06-02,-4.67
2022-06-03,-5.5
2022-06-06,-5.88
2022-06-07,-5.94
2022-06-08,-9.01
2022-06-09,-10.17
2022-06-10,-19.6
2022-06-13,-24.31
2022-06-14,-23.32
2022-06-15,-22.42
2022-06-16,-28.89
2022-06-17,-31.8
2022-06-21,-30.82
2022-06-22,-30.94
2022-06-23,-29.97
2022-06-24,-26.83
2022-06-27,-25.93
2022-06-28,-24.73
2022-06-29,-24.7
2022-06-30,-24.92
2022-07-01,-23.4
2022-07-05,-22.16
2022-07-06,-21.55
2022-07-07,-18.31
2022-07-08,-18.3
2022-07-11,-20.94
2022-07-12,-22.01
2022-07-13,-23.28
2022-07-14,-23.12
2022-07-15,-21.47
2022-07-18,-20.68
2022-07-19,-17.17
2022-07-20,-15.36
2022-07-21,-15.13
2022-07-22,-12.69
2022-07-25,-12.01
2022-07-26,-10.25
2022-07-27,-8.47
2022-07-28,-3.79
2022-07-29,-1.13
2022-08-01,-0.99
2022-08-02,-1.13
2022-08-03,0.41
2022-08-04,14.05
2022-08-05,16.52
2022-08-08,18.83
2022-08-09,16.5
2022-08-10,19.26
2022-08-11,20.33
2022-08-12,23.84
2022-08-15,25.44
2022-08-16,27.4
2022-08-17,19.81
2022-08-18,23.28
2022-08-19,19.71
2022-08-22,18.2
2022-08-23,17.83
2022-08-24,18.95
2022-08-25,20.24
2022-08-26,15.63
2022-08-29,15.16
2022-08-30,14.5
2022-08-31,13.12
2022-09-01,10.87
2022-09-02,11.25
2022-09-06,11.86
2022-09-07,13.19
2022-09-08,15.45
2022-09-09,16.54
2022-09-12,17.25
2022-09-13,12.77
2022-09-14,12.94
2022-09-15,12.45
2022-09-16,9.85
2022-09-19,13.19
2022-09-20,10.55
2022-09-21,9.2
2022-09-22,4.14
2022-09-23,1.96
2022-09-26,-0.28
2022-09-27,0.18
2022-09-28,4.67
2022-09-29,2.39
2022-09-30,3.68
2022-10-03,7.76
2022-10-04,12.75
2022-10-05,12.45
2022-10-06,11.84
2022-10-07,8.2
2022-10-10,7.88
2022-10-11,7.39
2022-10-12,5.6
2022-10-13,5.45
2022-10-14,-0.18
2022-10-17,4.72
2022-10-18,5.47
2022-10-19,0.98
2022-10-20,-2.65
2022-10-21,-0.03
2022-10-24,1.35
2022-10-25,4.18
2022-10-26,2.8
2022-10-27,3.56
2022-10-28,-1.0
2022-10-31,-3.4
2022-11-01,-2.33
2022-11-02,-5.43
2022-11-03,-29.08
2022-11-04,-30.64
2022-11-07,-31.84
2022-11-08,-29.05
2022-11-09,-31.79
2022-11-10,-25.24
2022-11-11,-24.92
2022-11-14,-27.89
2022-11-15,-25.83
2022-11-16,-27.68
2022-11-17,-28.98
2022-11-18,-24.37
2022-11-21,-23.02
2022-11-22,-21.16
2022-11-23,-19.45
2022-11-25,-19.62
2022-11-28,-22.27
2022-11-29,-22.07
2022-11-30,-18.92
2022-12-01,-19.55
2022-12-02,-20.53
2022-12-05,-24.97
2022-12-06,-24.91
2022-12-07,-26.0
2022-12-08,-26.11
2022-12-09,-27.1
2022-12-12,-26.38
2022-12-13,-25.2
2022-12-14,-25.38
2022-12-15,-26.64
2022-12-16,-28.61
2022-12-19,-30.49
2022-12-20,-30.61
2022-12-21,-29.68
2022-12-22,-31.53
2022-12-23,-30.99
2022-12-27,-31.41
2022-12-28,-32.77
2022-12-29,-30.92
2022-12-30,-31.67
2023-01-03,-32.24
2023-01-04,-30.62
2023-01-05,-32.12
2023-01-06,-30.89
2023-01-09,-31.86
2023-01-10,-29.39
2023-01-11,-26.75
2023-01-12,-27.39
2023-01-13,-26.03
2023-01-17,-24.68
2023-01-18,-25.28
2023-01-19,-28.79
2023-01-20,-25.7
2023-01-23,-24.72
2023-01-24,-25.98
2023-01-25,-25.23
2023-01-26,-22.52
2023-01-27,-20.26
2023-01-30,-21.06
2023-01-31,-15.94
2023-02-01,-13.22
2023-02-02,-27.94
2023-02-03,-22.65
