date,pct_chg
2022-02-04,3.68
2022-02-07,7.37
2022-02-08,4.74
2022-02-09,4.74
2022-02-10,7.37
2022-02-11,7.89
2022-02-14,3.16
2022-02-15,10.53
2022-02-16,10.0
2022-02-17,6.32
2022-02-18,-8.42
2022-02-22,-11.05
2022-02-23,-20.0
2022-02-24,-11.58
2022-02-25,-8.42
2022-02-28,-24.74
2022-03-01,-30.0
2022-03-02,-35.79
2022-03-03,-39.47
2022-03-04,-40.53
2022-03-07,-44.21
2022-03-08,-48.06
2022-03-09,-44.21
2022-03-10,-45.26
2022-03-11,-50.47
2022-03-14,-55.0
2022-03-15,-54.23
2022-03-16,-53.68
2022-03-17,-52.92
2022-03-18,-47.37
2022-03-21,-48.43
2022-03-22,-38.42
2022-03-23,-37.89
2022-03-24,-35.79
2022-03-25,-40.53
2022-03-28,-38.42
2022-03-29,-38.42
2022-03-30,-40.53
2022-03-31,-53.7
2022-04-01,-58.68
2022-04-04,-57.87
2022-04-05,-58.43
2022-04-06,-57.9
2022-04-07,-57.37
2022-04-08,-58.43
2022-04-11,-60.0
2022-04-12,-60.56
2022-04-13,-60.87
2022-04-14,-62.38
2022-04-18,-62.72
2022-04-19,-61.53
2022-04-20,-62.62
2022-04-21,-63.53
2022-04-22,-63.42
2022-04-25,-60.78
2022-04-26,-63.16
2022-04-27,-63.43
2022-04-28,-62.68
2022-04-29,-62.11
2022-05-02,-61.05
2022-05-03,-60.27
2022-05-04,-61.02
2022-05-05,-63.68
2022-05-06,-63.37
2022-05-09,-65.79
2022-05-10,-64.74
2022-05-11,-66.65
2022-05-12,-66.44
2022-05-13,-65.79
2022-05-16,-64.75
2022-05-17,-63.68
2022-05-18,-66.05
2022-05-19,-65.79
2022-05-20,-65.8
2022-05-23,-66.26
2022-05-24,-66.08
2022-05-25,-65.82
2022-05-26,-65.21
2022-05-27,-64.84
2022-05-31,-62.63
2022-06-01,-62.75
2022-06-02,-63.76
2022-06-03,-63.54
2022-06-06,-69.21
2022-06-07,-68.76
2022-06-08,-67.89
2022-06-09,-65.82
2022-06-10,-66.32
2022-06-13,-67.28
2022-06-14,-70.53
2022-06-15,-67.33
2022-06-16,-67.94
2022-06-17,-67.32
2022-06-21,-68.35
2022-06-22,-68.88
2022-06-23,-67.79
2022-06-24,-67.31
2022-06-27,-68.06
2022-06-28,-67.89
2022-06-29,-68.95
2022-06-30,-69.42
2022-07-01,-68.55
2022-07-05,-65.79
2022-07-06,-65.25
2022-07-07,-64.21
2022-07-08,-63.68
2022-07-11,-63.42
2022-07-12,-64.47
2022-07-13,-63.98
2022-07-14,-63.69
2022-07-15,-61.32
2022-07-18,-60.71
2022-07-19,-61.84
2022-07-20,-61.25
2022-07-21,-61.81
2022-07-22,-63.71
2022-07-25,-63.39
2022-07-26,-63.69
2022-07-27,-63.34
2022-07-28,-64.11
2022-07-29,-64.24
2022-08-01,-65.79
2022-08-02,-66.03
2022-08-03,-64.21
2022-08-04,-63.26
2022-08-05,-63.63
2022-08-08,-61.52
2022-08-09,-63.48
2022-08-10,-63.16
2022-08-11,-63.79
2022-08-12,-63.27
2022-08-15,-62.63
2022-08-16,-62.81
2022-08-17,-64.04
2022-08-18,-64.03
2022-08-19,-65.26
2022-08-22,-62.63
2022-08-23,-63.19
2022-08-24,-63.15
2022-08-25,-62.12
2022-08-26,-63.68
2022-08-29,-62.42
2022-08-30,-63.49
2022-08-31,-63.49
2022-09-01,-61.44
2022-09-02,-62.98
2022-09-06,-64.21
2022-09-07,-64.3
2022-09-08,-64.72
2022-09-09,-63.93
2022-09-12,-63.49
2022-09-13,-64.16
2022-09-14,-64.05
2022-09-15,-63.81
2022-09-16,-64.42
2022-09-19,-65.63
2022-09-20,-65.27
2022-09-21,-64.09
2022-09-22,-62.26
2022-09-23,-63.52
2022-09-26,-60.52
2022-09-27,-58.95
2022-09-28,-58.51
2022-09-29,-58.43
2022-09-30,-56.84
2022-10-03,-55.53
2022-10-04,-56.06
2022-10-05,-54.63
2022-10-06,-53.68
2022-10-07,-53.63
2022-10-10,-53.66
2022-10-11,-38.42
2022-10-12,-28.95
2022-10-13,-20.0
2022-10-14,-10.0
2022-10-17,-11.05
2022-10-18,-15.79
2022-10-19,-34.21
2022-10-20,-26.84
2022-10-21,-21.58
2022-10-24,-25.26
2022-10-25,-32.63
2022-10-26,-47.63
2022-10-27,-48.43
2022-10-28,-51.05
2022-10-31,-48.94
2022-11-01,-49.24
2022-11-02,-48.42
2022-11-03,-46.84
2022-11-04,-46.32
2022-11-07,-46.32
2022-11-08,-48.79
2022-11-09,-42.63
2022-11-10,-36.84
2022-11-11,-32.11
2022-11-14,-27.37
2022-11-15,-31.05
2022-11-16,-32.63
2022-11-17,-32.11
2022-11-18,-31.58
2022-11-21,-30.0
2022-11-22,-30.53
2022-11-23,-31.58
2022-11-25,-32.46
2022-11-28,-31.58
2022-11-29,-31.58
2022-11-30,-31.58
2022-12-01,-31.18
2022-12-02,-28.95
2022-12-05,-23.68
2022-12-06,-26.28
2022-12-07,-25.78
2022-12-08,-25.79
2022-12-09,-23.68
2022-12-12,-21.58
2022-12-13,-3.68
2022-12-14,36.84
2022-12-15,17.89
2022-12-16,-23.68
2022-12-19,-8.95
2022-12-20,1.58
2022-12-21,-83.17
2022-12-22,-84.76
2022-12-23,-88.42
2022-12-27,-89.99
2022-12-28,-89.73
2022-12-29,-89.43
2022-12-30,-89.95
2023-01-03,-90.0
2023-01-04,-88.42
2023-01-05,-86.33
2023-01-06,-87.69
2023-01-09,-88.16
2023-01-10,-88.37
2023-01-11,-87.42
2023-01-12,-87.53
2023-01-13,-85.82
2023-01-17,-86.84
2023-01-18,-88.32
2023-01-19,-88.05
2023-01-20,-88.0
2023-01-23,-88.12
2023-01-24,-86.89
2023-01-25,-86.02
2023-01-26,-86.53
2023-01-27,-86.59
2023-01-30,-85.79
2023-01-31,-86.32
2023-02-01,-86.16
2023-02-02,-85.53
2023-02-03,-83.82
