date,pct_chg
2022-02-04,-1.94
2022-02-07,-2.3
2022-02-08,-0.62
2022-02-09,-5.35
2022-02-10,-5.29
2022-02-11,-8.05
2022-02-14,-10.44
2022-02-15,-11.4
2022-02-16,-11.16
2022-02-17,-11.4
2022-02-18,-16.91
2022-02-22,-18.58
2022-02-23,-25.77
2022-02-24,-32.42
2022-02-25,-21.93
2022-02-28,-9.0
2022-03-01,-5.36
2022-03-02,-16.19
2022-03-03,-20.98
2022-03-04,-21.7
2022-03-07,-30.56
2022-03-08,-28.5
2022-03-09,-33.09
2022-03-10,-30.51
2022-03-11,-32.85
2022-03-14,-36.3
2022-03-15,-32.95
2022-03-16,-33.0
2022-03-17,-35.25
2022-03-18,-31.51
2022-03-21,-32.95
2022-03-22,-33.0
2022-03-23,-34.39
2022-03-24,-37.74
2022-03-25,-35.73
2022-03-28,-37.69
2022-03-29,-37.74
2022-03-30,-37.79
2022-03-31,-40.13
2022-04-01,-42.53
2022-04-04,-41.81
2022-04-05,-47.27
2022-04-06,-48.04
2022-04-07,-48.37
2022-04-08,-50.19
2022-04-11,-50.43
2022-04-12,-47.32
2022-04-13,-38.84
2022-04-14,-37.98
2022-04-18,-42.29
2022-04-19,-41.14
2022-04-20,-43.82
2022-04-21,-44.97
2022-04-22,-41.95
2022-04-25,-47.84
2022-04-26,-49.76
2022-04-27,-52.92
2022-04-28,-56.9
2022-04-29,-69.49
2022-05-02,-76.05
2022-05-03,-83.76
2022-05-04,-80.84
2022-05-05,-78.45
2022-05-06,-76.1
2022-05-09,-71.26
2022-05-10,-78.5
2022-05-11,-82.04
2022-05-12,-84.67
2022-05-13,-84.39
2022-05-16,-83.52
2022-05-17,-73.18
2022-05-18,-74.09
2022-05-19,-74.14
2022-05-20,-78.93
2022-05-23,-80.08
2022-05-24,-82.14
2022-05-25,-75.81
2022-05-26,-75.48
2022-05-27,-66.48
2022-05-31,-66.38
2022-06-01,-60.63
2022-06-02,-57.85
2022-06-03,-52.11
2022-06-06,-54.79
2022-06-07,-59.72
2022-06-08,-61.78
2022-06-09,-65.57
2022-06-10,-64.08
2022-06-13,-67.43
2022-06-14,-65.52
2022-06-15,-66.48
2022-06-16,-68.87
2022-06-17,-61.69
2022-06-21,-66.43
2022-06-22,-73.9
2022-06-23,-79.45
2022-06-24,-81.8
2022-06-27,-80.36
2022-06-28,-82.76
2022-06-29,-82.04
2022-06-30,-83.72
2022-07-01,-87.07
2022-07-05,-85.3
2022-07-06,-87.07
2022-07-07,-88.41
2022-07-08,-88.84
2022-07-11,-89.46
2022-07-12,-88.84
2022-07-13,-87.12
2022-07-14,-88.84
2022-07-15,-90.8
2022-07-18,-90.9
2022-07-19,-89.89
2022-07-20,-90.76
2022-07-21,-90.23
2022-07-22,-90.04
2022-07-25,-90.52
2022-07-26,-92.0
2022-07-27,-90.9
2022-07-28,-91.38
2022-07-29,-91.48
2022-08-01,-91.38
2022-08-02,-92.1
2022-08-03,-92.82
2022-08-04,-93.25
2022-08-05,-94.01
2022-08-08,-91.95
2022-08-09,-93.73
2022-08-10,-92.86
2022-08-11,-92.1
2022-08-12,-92.29
2022-08-15,-93.49
2022-08-16,-93.53
2022-08-17,-93.58
2022-08-18,-93.77
2022-08-19,-93.92
2022-08-22,-94.35
2022-08-23,-94.3
2022-08-24,-94.92
2022-08-25,-94.25
2022-08-26,-93.87
2022-08-29,-93.87
2022-08-30,-93.39
2022-08-31,-93.1
2022-09-01,-91.24
2022-09-02,-91.52
2022-09-06,-90.95
2022-09-07,-90.9
2022-09-08,-88.22
2022-09-09,-86.59
2022-09-12,-85.25
2022-09-13,-86.11
2022-09-14,-87.07
2022-09-15,-83.72
2022-09-16,-83.05
2022-09-19,-81.85
2022-09-20,-85.15
2022-09-21,-85.25
2022-09-22,-86.59
2022-09-23,-86.11
2022-09-26,-85.63
2022-09-27,-85.68
2022-09-28,-86.78
2022-09-29,-86.83
2022-09-30,-87.55
2022-10-03,-86.02
2022-10-04,-85.39
2022-10-05,-86.35
2022-10-06,-86.83
2022-10-07,-85.78
2022-10-10,-86.25
2022-10-11,-87.4
2022-10-12,-87.26
2022-10-13,-85.73
2022-10-14,-86.16
2022-10-17,-85.78
2022-10-18,-85.63
2022-10-19,-86.35
2022-10-20,-85.63
2022-10-21,-85.92
2022-10-24,-87.55
2022-10-25,-86.02
2022-10-26,-86.21
2022-10-27,-86.25
2022-10-28,-86.02
2022-10-31,-86.21
2022-11-01,-85.97
2022-11-02,-86.25
2022-11-03,-85.63
2022-11-04,-85.87
2022-11-07,-87.55
2022-11-08,-87.07
2022-11-09,-87.31
2022-11-10,-86.59
2022-11-11,-87.55
2022-11-14,-86.3
2022-11-15,-86.83
2022-11-16,-86.21
2022-11-17,-86.11
2022-11-18,-85.68
2022-11-21,-85.73
2022-11-22,-85.63
2022-11-23,-85.73
2022-11-25,-85.73
2022-11-28,-85.73
2022-11-29,-86.11
2022-11-30,-87.07
2022-12-01,-87.5
2022-12-02,-86.78
2022-12-05,-86.83
2022-12-06,-86.59
2022-12-07,-86.11
2022-12-08,-86.59
2022-12-09,-86.64
2022-12-12,-87.36
2022-12-13,-88.03
2022-12-14,-87.16
2022-12-15,-88.41
2022-12-16,-87.21
2022-12-19,-87.55
2022-12-20,-88.51
2022-12-21,-88.98
2022-12-22,-88.98
2022-12-23,-88.75
2022-12-27,-88.89
2022-12-28,-89.22
2022-12-29,-88.7
2022-12-30,-89.08
2023-01-03,-87.69
2023-01-04,-88.55
2023-01-05,-88.27
2023-01-06,-88.46
2023-01-09,-88.51
2023-01-10,-87.69
2023-01-11,-88.94
2023-01-12,-87.12
2023-01-13,-89.22
2023-01-17,-88.07
2023-01-18,-88.98
2023-01-19,-90.42
2023-01-20,-90.42
2023-01-23,-91.38
2023-01-24,-91.38
2023-01-25,-91.38
2023-01-26,-91.38
2023-01-27,-99.33
2023-01-30,-99.33
2023-01-31,-99.33
2023-02-01,-99.33
2023-02-02,-99.33
2023-02-03,-99.28
