date,pct_chg
2022-02-04,1.37
2022-02-07,2.11
2022-02-08,5.91
2022-02-09,7.0
2022-02-10,5.59
2022-02-11,2.27
2022-02-14,1.04
2022-02-15,5.47
2022-02-16,6.42
2022-02-17,1.62
2022-02-18,1.99
2022-02-22,-2.46
2022-02-23,-3.2
2022-02-24,1.92
2022-02-25,3.34
2022-02-28,3.18
2022-03-01,-0.19
2022-03-02,4.36
2022-03-03,6.7
2022-03-04,3.2
2022-03-07,-4.78
2022-03-08,-0.19
2022-03-09,3.97
2022-03-10,-0.12
2022-03-11,-7.07
2022-03-14,-6.17
2022-03-15,-4.71
2022-03-16,-0.95
2022-03-17,0.02
2022-03-18,1.44
2022-03-21,-6.19
2022-03-22,-4.5
2022-03-23,-7.37
2022-03-24,-7.12
2022-03-25,-7.84
2022-03-28,-6.05
2022-03-29,-2.92
2022-03-30,-7.4
2022-03-31,-11.39
2022-04-01,-10.51
2022-04-04,-10.81
2022-04-05,-11.09
2022-04-06,-12.15
2022-04-07,-11.87
2022-04-08,-11.39
2022-04-11,-11.27
2022-04-12,-10.64
2022-04-13,-8.93
2022-04-14,-8.65
2022-04-18,-10.58
2022-04-19,-5.8
2022-04-20,-6.24
2022-04-21,-7.58
2022-04-22,-11.99
2022-04-25,-11.41
2022-04-26,-14.52
2022-04-27,-14.84
2022-04-28,-11.15
2022-04-29,-15.05
2022-05-02,-11.97
2022-05-03,-11.99
2022-05-04,-11.5
2022-05-05,-15.19
2022-05-06,-17.53
2022-05-09,-20.73
2022-05-10,-21.45
2022-05-11,-24.3
2022-05-12,-21.61
2022-05-13,-20.66
2022-05-16,-21.29
2022-05-17,-20.13
2022-05-18,-25.44
2022-05-19,-26.95
2022-05-20,-26.65
2022-05-23,-28.66
2022-05-24,-33.63
2022-05-25,-25.19
2022-05-26,-21.73
2022-05-27,-21.31
2022-05-31,-23.91
2022-06-01,-23.54
2022-06-02,-20.76
2022-06-03,-27.74
2022-06-06,-29.36
2022-06-07,-30.5
2022-06-08,-30.54
2022-06-09,-29.94
2022-06-10,-33.07
2022-06-13,-34.0
2022-06-14,-34.53
2022-06-15,-33.4
2022-06-16,-37.62
2022-06-17,-35.58
2022-06-21,-36.48
2022-06-22,-37.69
2022-06-23,-36.22
2022-06-24,-33.84
2022-06-27,-34.32
2022-06-28,-36.46
2022-06-29,-38.01
2022-06-30,-39.7
2022-07-01,-41.3
2022-07-05,-40.07
2022-07-06,-42.0
2022-07-07,-40.17
2022-07-08,-40.45
2022-07-11,-41.3
2022-07-12,-41.19
2022-07-13,-40.93
2022-07-14,-41.7
2022-07-15,-39.98
2022-07-18,-38.89
2022-07-19,-35.13
2022-07-20,-33.97
2022-07-21,-35.04
2022-07-22,-35.13
2022-07-25,-35.88
2022-07-26,-40.31
2022-07-27,-39.05
2022-07-28,-38.75
2022-07-29,-39.7
2022-08-01,-37.5
2022-08-02,-38.54
2022-08-03,-36.06
2022-08-04,-36.09
2022-08-05,-37.29
2022-08-08,-34.81
2022-08-09,-37.36
2022-08-10,-35.62
2022-08-11,-33.53
2022-08-12,-31.63
2022-08-15,-33.84
2022-08-16,-28.69
2022-08-17,-30.26
2022-08-18,-31.01
2022-08-19,-32.12
2022-08-22,-35.74
2022-08-23,-35.37
2022-08-24,-36.57
2022-08-25,-35.18
2022-08-26,-36.48
2022-08-29,-36.48
2022-08-30,-37.73
2022-08-31,-39.8
2022-09-01,-39.91
2022-09-02,-40.77
2022-09-06,-39.17
2022-09-07,-35.55
2022-09-08,-38.45
2022-09-09,-36.09
2022-09-12,-37.94
2022-09-13,-45.66
2022-09-14,-45.64
2022-09-15,-45.34
2022-09-16,-45.59
2022-09-19,-44.92
2022-09-20,-45.69
2022-09-21,-48.31
2022-09-22,-49.77
2022-09-23,-49.26
2022-09-26,-49.74
2022-09-27,-49.07
2022-09-28,-46.99
2022-09-29,-48.65
2022-09-30,-50.07
2022-10-03,-49.49
2022-10-04,-48.26
2022-10-05,-48.91
2022-10-06,-48.54
2022-10-07,-49.95
2022-10-10,-50.7
2022-10-11,-51.37
2022-10-12,-50.9
2022-10-13,-49.84
2022-10-14,-50.95
2022-10-17,-49.51
2022-10-18,-49.98
2022-10-19,-52.23
2022-10-20,-52.55
2022-10-21,-51.48
2022-10-24,-51.28
2022-10-25,-47.66
2022-10-26,-47.68
2022-10-27,-48.59
2022-10-28,-47.45
2022-10-31,-47.98
2022-11-01,-47.7
2022-11-02,-49.81
2022-11-03,-48.93
2022-11-04,-48.31
2022-11-07,-47.43
2022-11-08,-47.89
2022-11-09,-51.81
2022-11-10,-45.48
2022-11-11,-43.69
2022-11-14,-45.01
2022-11-15,-43.14
2022-11-16,-46.27
2022-11-17,-45.43
2022-11-18,-44.85
2022-11-21,-46.71
2022-11-22,-43.65
2022-11-23,-43.25
2022-11-25,-44.13
2022-11-28,-45.62
2022-11-29,-45.27
2022-11-30,-46.08
2022-12-01,-49.37
2022-12-02,-46.2
2022-12-05,-47.98
2022-12-06,-47.77
2022-12-07,-46.68
2022-12-08,-45.48
2022-12-09,-47.36
2022-12-12,-47.15
2022-12-13,-46.78
2022-12-14,-47.89
2022-12-15,-51.41
2022-12-16,-52.95
2022-12-19,-55.4
2022-12-20,-54.99
2022-12-21,-53.15
2022-12-22,-52.92
2022-12-23,-51.28
2022-12-27,-50.95
2022-12-28,-50.81
2022-12-29,-49.35
2022-12-30,-49.58
2023-01-03,-48.96
2023-01-04,-47.63
2023-01-05,-48.12
2023-01-06,-45.94
2023-01-09,-45.41
2023-01-10,-44.39
2023-01-11,-44.2
2023-01-12,-42.42
2023-01-13,-43.41
2023-01-17,-44.48
2023-01-18,-45.34
2023-01-19,-45.66
2023-01-20,-43.6
2023-01-23,-42.3
2023-01-24,-43.03
2023-01-25,-41.0
2023-01-26,-40.7
2023-01-27,-40.28
2023-01-30,-40.4
2023-01-31,-40.1
2023-02-01,-37.57
2023-02-02,-34.6
2023-02-03,-34.88
